decoder,circuit,memory,p,shots,errors,seconds,ler,stderr
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.001,10000,1,1629.5359999999885,0.0001,9.999499987499375e-05
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.0015,1000,1,242.94000000000003,0.001,0.0009994998749374609
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.002,1000,10,369.645,0.01,0.003146426544510455
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.0025,1000,17,598.160999999994,0.017,0.004087909000944126
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.003,1000,52,1009.5609999999847,0.052,0.007021111023192838
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.0035,500,38,554.5499999999822,0.076,0.011851075900524812
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.004,500,101,799.9149999999961,0.202,0.01795527777562909
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.0045,500,163,1052.9509999999923,0.326,0.020963015050321363
bpgd-low-only,bicycle_bivariate_144_12_12_memory_X,X,0.005,500,237,1187.8960000000188,0.474,0.022330427671677047
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.001,412,73,449.49199999999996,0.17718446601941748,0.018811154704395407
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.0015,393,106,451.424,0.2697201017811705,0.02238747198714904
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.002,360,151,451.967,0.41944444444444445,0.026008054439876877
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.0025,308,158,469.528,0.512987012987013,0.028480532055217927
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.003,290,203,455.48300000000006,0.7,0.026909811055347135
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.0035,320,259,471.05999999999995,0.809375,0.021957850914806648
msl-bp,bicycle_bivariate_144_12_12_memory_X,X,0.004,283,247,468.26200000000006,0.872791519434629,0.019807062580002355
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.001,10000,25,1284.0510000000008,0.0025,0.0004993746088859545
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.0015,1000,6,261.33099999999996,0.006,0.002442130217658346
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.002,1000,14,349.41499999999996,0.014,0.003715373467095872
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.0025,1000,29,427.148,0.029,0.005306505441436953
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.003,1000,53,560.57,0.053,0.00708456067798138
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.0035,500,34,373.419,0.068,0.011258419071965654
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.004,500,75,446.90099999999995,0.15,0.015968719422671314
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.0045,500,110,527.275,0.22,0.018525657883055057
msl-bp-damp0p5,bicycle_bivariate_144_12_12_memory_X,X,0.005,500,157,638.3370000000001,0.314,0.020755914819636352
